moniker,ABSTAIN,NO,NO_VOTE,YES,NO_WITH_VETO,pca_x,pca_y,cluster
 79anvi ,0,0,0.411764706,0.588235294,0,0.242872544,0.0259481,1
 AutoStake  Slash Protected,0,0,1,0,0,2.557401813,-0.047635662,0
 BIERFORGE   REStake,0,0,0.647058824,0.352941176,0,1.168684251,-0.003485405,0
 Nodedog ,0,0,0.411764706,0.588235294,0,0.242872544,0.0259481,1
 Silk Nodes,0,0.058823529,0,0.941176471,0,-1.750936796,-0.606975607,1
 WHEN MOON  WHEN LAMBO  RESTAKE ,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
01node,0.058823529,0,0.117647059,0.823529412,0,-1.181644362,1.753647903,2
0basevc,0.058823529,0.058823529,0,0.882352941,0,-2.018189068,1.083932315,2
AVIAONEcom ,0,0.058823529,0,0.941176471,0,-1.750936796,-0.606975607,1
AkatSuki,0,0,0.764705882,0.235294118,0,1.631590105,-0.018202157,0
Allnodes,0,0,1,0,0,2.557401813,-0.047635662,0
AlxVoy  ANODETEAM,0,0.058823529,0.058823529,0.882352941,0,-1.519483869,-0.614333983,1
Antrix Validators,0,0,0.352941176,0.647058824,0,0.011419617,0.033306477,1
Apollo,0.117647059,0,0.117647059,0.764705882,0,-1.448896634,3.444555825,2
BZE Community,0,0,0.411764706,0.588235294,0,0.242872544,0.0259481,1
BonyNode,0,0,0.352941176,0.647058824,0,0.011419617,0.033306477,1
ChainTools,0,0.176470588,0,0.823529412,0,-2.4982145,-1.975840289,1
Chainroot,0,0,0.941176471,0.058823529,0,2.325948886,-0.040277286,0
Chiter in Cosmos ,0,0,0.823529412,0.176470588,0,1.863043032,-0.025560533,0
Citizen Web3,0,0.058823529,0.117647059,0.823529412,0,-1.288030942,-0.621692359,1
CloudByte,0,0,0.823529412,0.176470588,0,1.863043032,-0.025560533,0
Cogwheel ,0,0.117647059,0.117647059,0.764705882,0,-1.661669794,-1.306124701,1
CoinHunters,0,0,0.647058824,0.352941176,0,1.168684251,-0.003485405,0
CosmicNode,0,0,0.705882353,0.294117647,0,1.400137178,-0.010843781,0
Cosmostation,0.058823529,0,0,0.941176471,0,-1.644550216,1.768364656,2
Crosnest,0,0.058823529,0.235294118,0.705882353,0,-0.825125089,-0.636409112,1
CroutonDigital,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
CrowdControl,0,0.058823529,0.764705882,0.176470588,0,1.257951253,-0.702634498,0
Crypto Plant,0,0,0.941176471,0.058823529,0,2.325948886,-0.040277286,0
CryptoDungeon,0,0,0,1,0,-1.377297944,0.077456734,1
Curiosity Nodes ,0,0,0,1,0,-1.377297944,0.077456734,1
DKCMC,0,0,0.470588235,0.529411765,0,0.474325471,0.018589724,1
DSRV,0.058823529,0,0.882352941,0.058823529,0,1.827243687,1.657989012,0
DragonStake ,0.117647059,0,0.117647059,0.764705882,0,-1.448896634,3.444555825,2
ECO Stake   REStakeapp,0,0.058823529,0.235294118,0.705882353,0,-0.825125089,-0.636409112,1
Fluxen  Indonode,0,0,1,0,0,2.557401813,-0.047635662,0
Forbole,0,0.058823529,0.117647059,0.823529412,0,-1.288030942,-0.621692359,1
Foxinodes,0,0,0.176470588,0.823529412,0,-0.682939163,0.055381606,1
GATA HUB,0.058823529,0,0.117647059,0.823529412,0,-1.181644362,1.753647903,2
HazenNetworkSolutions,0,0,0.411764706,0.588235294,0,0.242872544,0.0259481,1
ITRocket,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
Inotel,0,0,0.647058824,0.352941176,0,1.168684251,-0.003485405,0
Inter Blockchain Services,0,0.117647059,0.058823529,0.823529412,0,-1.893122721,-1.298766324,1
KalpaTech,0,0.058823529,0.058823529,0.882352941,0,-1.519483869,-0.614333983,1
Kleomedes,0,0.117647059,0.176470588,0.705882353,0,-1.430216868,-1.313483077,1
KonsorTech,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
Kynraze,0,0,0.117647059,0.882352941,0,-0.91439209,0.062739982,1
LuckyStar,0,0.058823529,0.058823529,0.882352941,0,-1.519483869,-0.614333983,1
MIPEnode,0,0,0.352941176,0.647058824,0,0.011419617,0.033306477,1
MictoNode,0,0,0.882352941,0.117647059,0,2.094495959,-0.03291891,0
Moonkitt  CEASING OPS NOV 10  REDELEGATE NOW,0,0.058823529,0.235294118,0.705882353,0,-0.825125089,-0.636409112,1
NODEJUMPER,0,0.058823529,0.294117647,0.647058824,0,-0.593672162,-0.643767488,1
NODERS,0,0,0.352941176,0.647058824,0,0.011419617,0.033306477,1
NexuSecurus,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
NodeRuneR,0,0,0.529411765,0.470588235,0,0.705778398,0.011231348,0
Nodeist  Slash Protected,0,0.058823529,0.058823529,0.882352941,0,-1.519483869,-0.614333983,1
Noderunners,0,0.058823529,0,0.941176471,0,-1.750936796,-0.606975607,1
Nodes Hub  100 Slash Protected ,0,0.117647059,0,0.882352941,0,-2.124575648,-1.291407948,1
NosNode,0,0,0,1,0,-1.377297944,0.077456734,1
Nurturra ,0,0.058823529,0.235294118,0.705882353,0,-0.825125089,-0.636409112,1
NyanCat,0,0.117647059,0,0.882352941,0,-2.124575648,-1.291407948,1
OWALLET,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
Onbloc Node,0,0,0.764705882,0.235294118,0,1.631590105,-0.018202157,0
Oneiric Stake,0,0.058823529,0.058823529,0.882352941,0,-1.519483869,-0.614333983,1
OshVanK,0,0,0.764705882,0.235294118,0,1.631590105,-0.018202157,0
POSTHUMAN  StakeDrop,0,0,0.117647059,0.882352941,0,-0.91439209,0.062739982,1
PRO Delegators,0.176470588,0.058823529,0,0.764705882,0,-2.552693613,4.465748158,2
PathrockNetwork,0,0.058823529,0,0.941176471,0,-1.750936796,-0.606975607,1
PrimeStake ,0,0,0.411764706,0.588235294,0,0.242872544,0.0259481,1
ProMEX Hub,0,0,0.823529412,0.176470588,0,1.863043032,-0.025560533,0
Provalidator,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
Quebec,0,0,0.882352941,0.117647059,0,2.094495959,-0.03291891,0
Regenerator  Green Validator ,0,0.058823529,0,0.941176471,0,-1.750936796,-0.606975607,1
Revonode,0,0,0.411764706,0.588235294,0,0.242872544,0.0259481,1
Roomit,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
SECARD,0,0,0.470588235,0.529411765,0,0.474325471,0.018589724,1
SG1,0.058823529,0.117647059,0.176470588,0.647058824,0,-1.69746914,0.377424845,1
SIPALINGTESTNET,0,0,0.823529412,0.176470588,0,1.863043032,-0.025560533,0
STAVR REStake ON,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
Shazoes,0,0,0.294117647,0.705882353,0,-0.22003331,0.040664853,1
Shire,0,0.058823529,0.235294118,0.705882353,0,-0.825125089,-0.636409112,1
Simply Staking,0,0.058823529,0.764705882,0.176470588,0,1.257951253,-0.702634498,0
SolidarityNode,0,0,0.294117647,0.705882353,0,-0.22003331,0.040664853,1
StakeLabzone,0,0,0.705882353,0.294117647,0,1.400137178,-0.010843781,0
StakeUp,0,0,0.235294118,0.764705882,0,-0.451486236,0.048023229,1
StakerHouse,0.058823529,0,0.235294118,0.705882353,0,-0.718738509,1.738931151,2
Stella ,0,0,0.411764706,0.588235294,0,0.242872544,0.0259481,1
SyaNodes,0,0.058823529,0.058823529,0.882352941,0,-1.519483869,-0.614333983,1
TRACE,0,0,0.470588235,0.529411765,0,0.474325471,0.018589724,1
Tanjira,0,0,0.882352941,0.117647059,0,2.094495959,-0.03291891,0
TaxiStake,0,0,0.294117647,0.705882353,0,-0.22003331,0.040664853,1
Tecnodes,0,0,0.294117647,0.705882353,0,-0.22003331,0.040664853,1
UTSA,0.058823529,0,0.235294118,0.705882353,0,-0.718738509,1.738931151,2
Ubik Capital,0,0.176470588,0.058823529,0.764705882,0,-2.266761573,-1.983198666,1
Umbrella ,0.176470588,0,0,0.823529412,0,-2.17905476,5.150180499,2
VALIDARIOS,0,0,0,1,0,-1.377297944,0.077456734,1
VinjanInc,0,0.058823529,0.235294118,0.705882353,0,-0.825125089,-0.636409112,1
WeStaking,0,0,0.117647059,0.882352941,0,-0.91439209,0.062739982,1
Winnode,0,0,1,0,0,2.557401813,-0.047635662,0
bitszn  valoperscom,0,0,0.411764706,0.588235294,0,0.242872544,0.0259481,1
cunum,0,0.235294118,0.235294118,0.529411765,0,-1.946041645,-2.689706136,1
dnsarz,0,0,0.333333333,0.666666667,0,-0.065731358,0.035759269,1
equinoxDAO,0,0.058823529,0.058823529,0.882352941,0,-1.519483869,-0.614333983,1
interchainFM,0,0,1,0,0,2.557401813,-0.047635662,0
ksalab,0,0,0.529411765,0.470588235,0,0.705778398,0.011231348,0
linkednode,0,0,0.352941176,0.647058824,0,0.011419617,0.033306477,1
nyliranet,0,0.058823529,0,0.941176471,0,-1.750936796,-0.606975607,1
owlstake,0,0,0.411764706,0.588235294,0,0.242872544,0.0259481,1
plantree,0,0.058823529,0.058823529,0.882352941,0,-1.519483869,-0.614333983,1
ruangnode,0.058823529,0,0.235294118,0.705882353,0,-0.718738509,1.738931151,2
silent,0,0,0.176470588,0.823529412,0,-0.682939163,0.055381606,1
sychonix,0,0,0.294117647,0.705882353,0,-0.22003331,0.040664853,1
tRDM  Nodera,0,0,0.529411765,0.470588235,0,0.705778398,0.011231348,0
