moniker,ABSTAIN,NO_VOTE,YES,NO,NO_WITH_VETO,votingPower,pca_x,pca_y,cluster
AutoStake Slash Protected,0,0.947368421,0.052631579,0,0,0.000871,-1.680296898,-0.272697918,0
CryptoCrew Validators,0.157894737,0.052631579,0.789473684,0,0,0.01338,1.931879097,3.237067411,2
01node,0,0.684210526,0.315789474,0,0,0.014417,-0.494754344,-0.250763224,0
Allnodes,0,1,0,0,0,0.010375,-1.917405409,-0.277084857,0
AltLayer,0,0.578947368,0.421052632,0,0,0.01038,-0.020537322,-0.241989346,0
Anchorage Digital 1,0.315789474,0.684210526,0,0,0,0.013511,-1.332091722,6.619611515,2
Anchorage Digital 2,0.315789474,0.684210526,0,0,0,0.025915,-1.332091722,6.619611515,2
Ankr,0,0.526315789,0.473684211,0,0,0.010361,0.216571188,-0.237602408,1
AtlasStaking,0,0.631578947,0.368421053,0,0,0.000069,-0.257645833,-0.246376285,0
BHarvest,0.105263158,0.052631579,0.842105263,0,0,0.01274,2.071435326,2.092004954,1
Bflux,0.052631579,0.789473684,0.157894737,0,0,0.000844,-1.108527595,0.885525355,0
BinanceNode,0,1,0,0,0,0.008914,-1.917405409,-0.277084857,0
Bitrue,0,1,0,0,0,0.000483,-1.917405409,-0.277084857,0
BlockHunters,0,0.631578947,0.368421053,0,0,0.003467,-0.257645833,-0.246376285,0
Blockdaemon,0,0.210526316,0.789473684,0,0,0.010363,1.639222253,-0.211280775,1
CertiK,0,0.473684211,0.526315789,0,0,0.000251,0.453679699,-0.233215469,1
Chorus One,0,0.684210526,0.315789474,0,0,0.01274,-0.494754344,-0.250763224,0
CoinSummer Labs,0,0.473684211,0.526315789,0,0,0.015546,0.453679699,-0.233215469,1
Coinage X DAIC,0,0.263157895,0.736842105,0,0,0.000021,1.402113742,-0.215667714,1
Colossus,0,0.789473684,0.210526316,0,0,0.002464,-0.968971366,-0.259537101,0
ContributionDAO,0,0.105263158,0.894736842,0,0,0.010521,2.113439275,-0.202506897,1
CosmosSpaces,0.105263158,0.210526316,0.684210526,0,0,0.013862,1.360109794,2.078844138,2
Cosmostation,0,0.052631579,0.947368421,0,0,0.03543,2.350547786,-0.198119959,1
Cubist,0,0.842105263,0.157894737,0,0,0.01036,-1.206079876,-0.26392404,0
DSRV,0,0.263157895,0.736842105,0,0,0.031431,1.402113742,-0.215667714,1
DeFimansSBI,0,0.105263158,0.894736842,0,0,0.01036,2.113439275,-0.202506897,1
Enigma,0,0.578947368,0.421052632,0,0,0.000027,-0.020537322,-0.241989346,0
Everstake,0,0.052631579,0.947368421,0,0,0.020519,2.350547786,-0.198119959,1
Figment,0,0.210526316,0.789473684,0,0,0.031675,1.639222253,-0.211280775,1
Finoa Consensus Services,0,0.631578947,0.368421053,0,0,0.006994,-0.257645833,-0.246376285,0
Forbole,0,0.368421053,0.631578947,0,0,0.00005,0.927896721,-0.224441591,1
GalaxyDigital,0,1,0,0,0,0.010362,-1.917405409,-0.277084857,0
Gate Earn,0,1,0,0,0,0.001318,-1.917405409,-0.277084857,0
HashKey Cloud,0,0.473684211,0.526315789,0,0,0.01046,0.453679699,-0.233215469,1
Hex Trust,0,0.736842105,0.263157895,0,0,0.010362,-0.731862855,-0.255150163,0
Hinode Technologies,0,0.368421053,0.631578947,0,0,0.013511,0.927896721,-0.224441591,1
HoodRun,0,0.052631579,0.947368421,0,0,0.010361,2.350547786,-0.198119959,1
IAmScRay Please redelegate,0,0.684210526,0.315789474,0,0,0,-0.494754344,-0.250763224,0
ITRocket,0,0.631578947,0.368421053,0,0,0.00002,-0.257645833,-0.246376285,0
Imperatorco,0,0.052631579,0.947368421,0,0,0.010436,2.350547786,-0.198119959,1
InfStones,0,0.315789474,0.684210526,0,0,0.01353,1.165005232,-0.220054652,1
Informal Systems,0,0.526315789,0.473684211,0,0,0.000146,0.216571188,-0.237602408,1
Infrasingularity,0,0.736842105,0.263157895,0,0,0.000101,-0.731862855,-0.255150163,0
Injective Labs,0.157894737,0.368421053,0.473684211,0,0,0.000005,0.509228032,3.210745778,2
KODA,0,1,0,0,0,0.01036,-1.917405409,-0.277084857,0
Kairos Research X Firstset,0,0.052631579,0.947368421,0,0,0.014979,2.350547786,-0.198119959,1
Keplr,0,0.052631579,0.947368421,0,0,0.053501,2.350547786,-0.198119959,1
Kiln,0,0.4,0.6,0,0,0.025901,0.785631614,-0.227073755,1
Kiln legacy please redelegate,0,0.315789474,0.684210526,0,0,0.00057,1.165005232,-0.220054652,1
Kraken,0,0.315789474,0.684210526,0,0,0.026017,1.165005232,-0.220054652,1
KudasaiJP,0,0.105263158,0.894736842,0,0,0.012741,2.113439275,-0.202506897,1
LavenderFive Nodes,0,0.947368421,0.052631579,0,0,0.003668,-1.680296898,-0.272697918,0
Lombard Finance,0,0.421052632,0.578947368,0,0,0.059825,0.69078821,-0.22882853,1
Luganodes,0,0.526315789,0.473684211,0,0,0.029056,0.216571188,-0.237602408,1
Moon Core,0,0.421052632,0.578947368,0,0,0.000021,0.69078821,-0.22882853,1
Nansen Stake to Stack Points,0,0.368421053,0.631578947,0,0,0.011861,0.927896721,-0.224441591,1
Next Finance Tech,0,0.368421053,0.631578947,0,0,0.010364,0.927896721,-0.224441591,1
NexuSecurus,0,0.6,0.4,0,0,0.000339,-0.115380727,-0.243744122,0
NodeStake,0,0.263157895,0.736842105,0,0,0.000222,1.402113742,-0.215667714,1
Nodeinfra,0,0.421052632,0.578947368,0,0,0,0.69078821,-0.22882853,1
NodesGuru,0,0.052631579,0.947368421,0,0,0.031442,2.350547786,-0.198119959,1
OKX Earn,0,1,0,0,0,0.025903,-1.917405409,-0.277084857,0
P2Porg,0,0.263157895,0.736842105,0,0,0.034415,1.402113742,-0.215667714,1
PLEASE REDELEGATE decommissioning on December 1st 2025,0,0.052631579,0.947368421,0,0,0.000027,2.350547786,-0.198119959,1
POSTHUMAN StakeDrop,0,0.473684211,0.526315789,0,0,0.000057,0.453679699,-0.233215469,1
PanteraStaking Daily Draw,0,0.736842105,0.263157895,0,0,0.000015,-0.731862855,-0.255150163,0
Pier Two,0,0.473684211,0.526315789,0,0,0.000016,0.453679699,-0.233215469,1
Provalidator,0,0.526315789,0.473684211,0,0,0.000005,0.216571188,-0.237602408,1
PureValidator,0.105263158,0.631578947,0.263157895,0,0,0.000091,-0.536758293,2.043748628,2
QuantNode,0,0.263157895,0.736842105,0,0,0.000086,1.402113742,-0.215667714,1
RedelegateShuttingDown,0,0.263157895,0.736842105,0,0,0,1.402113742,-0.215667714,1
RockX,0,0.526315789,0.473684211,0,0,0.026151,0.216571188,-0.237602408,1
STAKEME,0,0.894736842,0.105263158,0,0,0.000015,-1.443188387,-0.268310979,0
SatoshiVisionLab,0,0.526315789,0.473684211,0,0,0.010365,0.216571188,-0.237602408,1
SenseiNode,0,0.526315789,0.473684211,0,0,0.01036,0.216571188,-0.237602408,1
Shutdown in December Please redelegate Meria,0,0.421052632,0.578947368,0,0,0.000111,0.69078821,-0.22882853,1
Simply Staking,0,0.421052632,0.578947368,0,0,0.000004,0.69078821,-0.22882853,1
Snow Fall,0,0.210526316,0.789473684,0,0,0.000063,1.639222253,-0.211280775,1
Solv Protocol,0,0.736842105,0.263157895,0,0,0.025945,-0.731862855,-0.255150163,0
Stake Shark,0,1,0,0,0,0.001341,-1.917405409,-0.277084857,0
StakeRelax,0,0.473684211,0.526315789,0,0,0.000013,0.453679699,-0.233215469,1
Stakecito,0,0.052631579,0.947368421,0,0,0.01354,2.350547786,-0.198119959,1
Staketab,0,0.578947368,0.421052632,0,0,0.000001,-0.020537322,-0.241989346,0
Staking4All,0,0.210526316,0.789473684,0,0,0.010803,1.639222253,-0.211280775,1
Sunsetted Validator Please Redelegate,0.052631579,0.157894737,0.789473684,0,0,0.000001,1.736774534,0.93816862,1
Swyke,0,0.473684211,0.526315789,0,0,0,0.453679699,-0.233215469,1
Synergy Nodes,0,0.894736842,0.105263158,0,0,0.000003,-1.443188387,-0.268310979,0
Twinstake,0,0.421052632,0.578947368,0,0,0.01036,0.69078821,-0.22882853,1
Vadypto,0,0.894736842,0.105263158,0,0,0.000126,-1.443188387,-0.268310979,0
Validation Cloud,0,0.263157895,0.736842105,0,0,0,1.402113742,-0.215667714,1
Validatus,0,0.736842105,0.263157895,0,0,0.000111,-0.731862855,-0.255150163,0
WhisperNode,0,0.526315789,0.473684211,0,0,0.000003,0.216571188,-0.237602408,1
Xangle,0,0.105263158,0.894736842,0,0,0.025902,2.113439275,-0.202506897,1
Zeeve Inc,0,1,0,0,0,0.000109,-1.917405409,-0.277084857,0
Zellic,0,0.473684211,0.526315789,0,0,0.046503,0.453679699,-0.233215469,1
betahk,0,1,0,0,0,0.000056,-1.917405409,-0.277084857,0
blockscape,0,0.947368421,0.052631579,0,0,0.000054,-1.680296898,-0.272697918,0
caliber,0,0.210526316,0.789473684,0,0,0.010362,1.639222253,-0.211280775,1
cobo,0,1,0,0,0,0,-1.917405409,-0.277084857,0
doricavalidators,0,0,1,0,0,0.000017,2.587656297,-0.19373302,1
equinoxDAO,0,0.578947368,0.421052632,0,0,0.000001,-0.020537322,-0.241989346,0
falconx,0,1,0,0,0,0.010361,-1.917405409,-0.277084857,0
lorenzovalidator,0,1,0,0,0,0.020721,-1.917405409,-0.277084857,0
minminnet,0,0.526315789,0.473684211,0,0,0.000092,0.216571188,-0.237602408,1
node101,0,0.473684211,0.526315789,0,0,0.01036,0.453679699,-0.233215469,1
polkachucom,0,0.157894737,0.842105263,0,0,0.000669,1.876330764,-0.206893836,1
stakefish,0,0.052631579,0.947368421,0,0,0.026137,2.350547786,-0.198119959,1
verse2,0,1,0,0,0,0,-1.917405409,-0.277084857,0
zonaris01,0,0.368421053,0.631578947,0,0,0.000012,0.927896721,-0.224441591,1
