address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,commissions,totalToken
bbnvaloper1g8v4zp9j7jkq4s6spgasanu087kfvtnxg50fk7,Lombard Finance,0.1,1,125496969,0.059136,1.77E+12,bbnvaloper1g8v4zp9j7jkq4s6spgasanu087kfvtnxg50fk7,10058,10300,10141,0.976136476,2,2102148790
bbnvaloper1tf2sw45fx6c968ux9zphd57twdlw69jp7qrgdm,Keplr,0.03,2,109764201,0.051723,1.77E+12,bbnvaloper1tf2sw45fx6c968ux9zphd57twdlw69jp7qrgdm,10068,10315,10148,0.975660229,96,
bbnvaloper1xvzpmejwax2uuquap8rgxt5d7f4xscfww4dfc9,Zellic,0.05,3,89731151,0.042283,1.77E+12,bbnvaloper1xvzpmejwax2uuquap8rgxt5d7f4xscfww4dfc9,10057,10311,10143,0.974958099,59,
bbnvaloper1r48zpc8xzrjhm9el48kpyg0kzmc93mms3xc92f,OKX Earn,0.1,4,75028005,0.035355,1.77E+12,bbnvaloper1r48zpc8xzrjhm9el48kpyg0kzmc93mms3xc92f,10061,10274,10141,0.978996154,2,
bbnvaloper1y5fqc69rthqgltjnjze408t66j5pp6kdyhlz48,P2Porg,0.1,5,72609815,0.034215,1.77E+12,bbnvaloper1y5fqc69rthqgltjnjze408t66j5pp6kdyhlz48,10053,10310,10140,0.974654832,2,
bbnvaloper1u9w7kfngrsr2defextqf5fscypw8dys50pdza4,Cosmostation,0.03,6,66072120,0.031134,1.77E+12,bbnvaloper1u9w7kfngrsr2defextqf5fscypw8dys50pdza4,10048,10307,10134,0.974442471,96,
bbnvaloper1004nqmppj9tvwf0l5gawl747lg452vl35m5x0x,Figment,0.1,7,61192326,0.028835,1.77E+12,bbnvaloper1004nqmppj9tvwf0l5gawl747lg452vl35m5x0x,10050,10303,10133,0.975032073,2,
bbnvaloper1a67tugdznyxnc0np20d0lgkszd6fshcppeq8sv,NodesGuru,0.05,8,60744564,0.028624,1.77E+12,bbnvaloper1a67tugdznyxnc0np20d0lgkszd6fshcppeq8sv,10056,10309,10141,0.97505177,59,
bbnvaloper18hly9zagjfuzzeqp92uhwafmplmtgd0u98vjj3,DSRV,0.1,9,60717370,0.028611,1.77E+12,bbnvaloper18hly9zagjfuzzeqp92uhwafmplmtgd0u98vjj3,10065,10317,10149,0.975169967,2,
bbnvaloper14axcnvrrhw8yzvvnl79ugtxxf9ws5j7ah0ftv2,Luganodes,0.1,10,56117146,0.026443,1.77E+12,bbnvaloper14axcnvrrhw8yzvvnl79ugtxxf9ws5j7ah0ftv2,10062,10313,10146,0.975261187,2,
bbnvaloper1j2t9f3vencxyvt6knyu8e7srfzfeesdty06dnc,RockX,0.05,11,55924437,0.026353,1.77E+12,bbnvaloper1j2t9f3vencxyvt6knyu8e7srfzfeesdty06dnc,10055,10313,10140,0.974556213,59,
bbnvaloper1hcqhj9zukk4pncknux3gfkgw9fhy8uc2ldfzsd,stakefish,0.05,12,50456986,0.023776,1.77E+12,bbnvaloper1hcqhj9zukk4pncknux3gfkgw9fhy8uc2ldfzsd,10051,10307,10138,0.974748471,59,
bbnvaloper167thlj4wjetzwkjp8wkfm5u99jwvlrrd8zr0qd,Kraken,0.1,13,50224810,0.023667,1.77E+12,bbnvaloper167thlj4wjetzwkjp8wkfm5u99jwvlrrd8zr0qd,10062,10317,10148,0.974871896,2,
bbnvaloper162e0vrljew6xmkazpcuz6fksjlk0sw0rwvtfwj,Solv Protocol,0.1,14,50085608,0.023601,1.77E+12,bbnvaloper162e0vrljew6xmkazpcuz6fksjlk0sw0rwvtfwj,10056,10289,10137,0.977014896,2,
bbnvaloper13wj0x342yr9mahkaenvdlrzzpwe84570sh0yjq,Anchorage Digital 2,0.2,15,50030033,0.023575,1.77E+12,bbnvaloper13wj0x342yr9mahkaenvdlrzzpwe84570sh0yjq,10049,10298,10130,0.975419546,1,
bbnvaloper19fzfy82u2y8p5p6hz9zpgezgc556rjy6dnnmul,CoinSummer Labs,0.05,16,50011908,0.023567,1.77E+12,bbnvaloper19fzfy82u2y8p5p6hz9zpgezgc556rjy6dnnmul,10062,10323,10148,0.974280646,59,
bbnvaloper109x73vm9p45qsgmu2dhelsxscuajyjc20n5xc0,Xangle,0.1,17,50002941,0.023562,1.77E+12,bbnvaloper109x73vm9p45qsgmu2dhelsxscuajyjc20n5xc0,10055,10289,10133,0.976907135,2,
bbnvaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqrxz9qp,Kiln,0.08,18,50000465,0.023561,1.77E+12,bbnvaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqrxz9qp,10078,10328.5,10173,0.975375995,53,
bbnvaloper1jcrv77zqx0vggr2v325nkhfctt4gqjretq6mqa,verse2,0.1,19,50000012,0.023561,1.77E+12,bbnvaloper1jcrv77zqx0vggr2v325nkhfctt4gqjretq6mqa,10110,10311.5,10186,0.980217946,2,
bbnvaloper1avpnfj6wfkhfz0syl89rrqesp26eke7ux845q9,Cobo,0.1,20,50000010,0.023561,1.77E+12,bbnvaloper1avpnfj6wfkhfz0syl89rrqesp26eke7ux845q9,10077,10281,10162,0.979925212,2,
bbnvaloper1l5c6cf6rps3vq65hmk73hqv2epj6wrn2vlkawa,Everstake,0.1,21,39774572,0.018742,1.77E+12,bbnvaloper1l5c6cf6rps3vq65hmk73hqv2epj6wrn2vlkawa,10053,10297,10135,0.975925012,2,
bbnvaloper176nnuls55nkgtpc67tp3p70vjnnwx3c4q3w225,Kairos Research X Firstset,0.1,22,29034254,0.013681,1.77E+12,bbnvaloper176nnuls55nkgtpc67tp3p70vjnnwx3c4q3w225,10052,10303,10135,0.975234336,2,
bbnvaloper1fyfnvvswqjmg2xlpx2grldmlnuzqj6zj2hc8hd,01node,0.05,23,27934746,0.013163,1.77E+12,bbnvaloper1fyfnvvswqjmg2xlpx2grldmlnuzqj6zj2hc8hd,10056,10310,10138,0.974945749,59,
bbnvaloper163zszfeemrqfyg3jlasztzmy0eea8l8qjlvlz2,CosmosSpaces,0.08,24,26847773,0.012651,1.77E+12,bbnvaloper163zszfeemrqfyg3jlasztzmy0eea8l8qjlvlz2,10054,10300,10139,0.975737252,53,
bbnvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q2fl4t5,Stakecito,0.05,25,26296382,0.012391,1.77E+12,bbnvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q2fl4t5,10049,10297,10135,0.97553034,59,
bbnvaloper1nr3u9926m0zmglqam3wljsg9zjaef3ptqege9m,Anchorage Digital 1,0.07,26,26185610,0.012339,1.77E+12,bbnvaloper1nr3u9926m0zmglqam3wljsg9zjaef3ptqege9m,10055,10306,10137,0.975239223,58,
bbnvaloper1y2kvtdppq9fujd6qrn7ptsyndej4ngl4u93kyg,InfStones,0.1,27,26143971,0.01232,1.77E+12,bbnvaloper1y2kvtdppq9fujd6qrn7ptsyndej4ngl4u93kyg,10045,10301,10127,0.974721043,2,
bbnvaloper1z48ejjhtpy6al2l0rmd64x2qdnrlxq5hqf4d66,Hinode Technologies,0.1,28,26108385,0.012303,1.77E+12,bbnvaloper1z48ejjhtpy6al2l0rmd64x2qdnrlxq5hqf4d66,10061,10304,10142,0.976040229,2,
bbnvaloper1eunu7l7qfmemdw4xv7apejl28jzgd3t346dh63,CryptoCrew Validators,0.05,29,25860331,0.012186,1.77E+12,bbnvaloper1eunu7l7qfmemdw4xv7apejl28jzgd3t346dh63,10062,10313,10144,0.975256309,59,
bbnvaloper1n9wz2ww9260jwqfxejgk7p933j32uzqkldm2qw,KudasaiJP,0.1,30,24617623,0.0116,1.77E+12,bbnvaloper1n9wz2ww9260jwqfxejgk7p933j32uzqkldm2qw,10055,10304,10136,0.975434096,2,
bbnvaloper12m9zj4d64mehzzrx59kyw5ul773xpshlz690w0,Chorus One,0.1,31,24616315,0.0116,1.77E+12,bbnvaloper12m9zj4d64mehzzrx59kyw5ul773xpshlz690w0,10058,10315,10142,0.97465983,2,
bbnvaloper1d2wmqey6t654avp8s2wxspkfeylj6ax2xqkxwr,BHarvest,0.1,32,24610451,0.011597,1.77E+12,bbnvaloper1d2wmqey6t654avp8s2wxspkfeylj6ax2xqkxwr,10058,10308,10141,0.975347599,2,
bbnvaloper1st53852y75x5lc7he8cekclf3vmpn5ynccyysz,Nansen Stake to Stack Points,0.05,33,22846932,0.010766,1.77E+12,bbnvaloper1st53852y75x5lc7he8cekclf3vmpn5ynccyysz,10058,10310,10140,0.975147929,59,
bbnvaloper1jr4tsed9w988fl4xkprvys36pxd0zxjjlprcm8,Staking4All,0.03,34,20479229,0.00965,1.77E+12,bbnvaloper1jr4tsed9w988fl4xkprvys36pxd0zxjjlprcm8,10056,10301,10137,0.975831114,96,
bbnvaloper1sthe9eeu0jplf7nl9x5crxfquydwxv93hcruz4,ContributionDAO,0.1,35,20310219,0.009571,1.77E+12,bbnvaloper1sthe9eeu0jplf7nl9x5crxfquydwxv93hcruz4,10054,10302,10142,0.975547229,2,
bbnvaloper1rr3kly4yg3zpswa9cew79ukfhf4f96wc57t7m9,HashKey Cloud,0.05,36,20190252,0.009514,1.77E+12,bbnvaloper1rr3kly4yg3zpswa9cew79ukfhf4f96wc57t7m9,10052,10293,10134,0.97621867,59,
bbnvaloper1ekrjuazjcvj26xpg326ejeqt59s55d5wkf7rrt,Imperatorco,0.05,37,20155144,0.009497,1.77E+12,bbnvaloper1ekrjuazjcvj26xpg326ejeqt59s55d5wkf7rrt,10056,10305.5,10139,0.97539205,59,
bbnvaloper1vl64trjerytqp5w9gnxaphh76efrqxl4hsdzyn,Coinage X DAIC,0.05,38,20041188,0.009444,1.77E+12,bbnvaloper1vl64trjerytqp5w9gnxaphh76efrqxl4hsdzyn,10054,10324,10142,0.973378032,59,
bbnvaloper18tl4eh9mdzcf5jnr5qugm8hxsehrv7anx6rszp,AltLayer,0.1,39,20037650,0.009442,1.77E+12,bbnvaloper18tl4eh9mdzcf5jnr5qugm8hxsehrv7anx6rszp,10054,10304,10137,0.975337871,2,
bbnvaloper1ghrpfanlpyxexasld77ekny99cta6jcgyqpvsh,Allnodes,0.1,40,20035398,0.009441,1.77E+12,bbnvaloper1ghrpfanlpyxexasld77ekny99cta6jcgyqpvsh,10060,10319,10141,0.974460112,2,
bbnvaloper1ltxrzrdgfsvxuxq0htjxdmqjwy9mhmvdssw8rk,SatoshiVisionLab,0.1,41,20010007,0.009429,1.77E+12,bbnvaloper1ltxrzrdgfsvxuxq0htjxdmqjwy9mhmvdssw8rk,10044,10286,10127,0.976103486,2,
bbnvaloper1af0vzd70yl3ne2k232f49u6wccxjd5ptkpnvfv,Next Finance Tech,0.1,42,20007604,0.009428,1.77E+12,bbnvaloper1af0vzd70yl3ne2k232f49u6wccxjd5ptkpnvfv,10064,10322,10150,0.974581281,2,
bbnvaloper1emwnrxm4u2kw42ajhd07ksut7vada2euvskxxg,Blockdaemon,0.1,43,20005080,0.009427,1.77E+12,bbnvaloper1emwnrxm4u2kw42ajhd07ksut7vada2euvskxxg,10046,10260,10122,0.978857933,2,
bbnvaloper14t06tc7f0slprnzgvktktwc3g6rf8kg2xq8k2w,caliber,0.1,44,20004125,0.009426,1.77E+12,bbnvaloper14t06tc7f0slprnzgvktktwc3g6rf8kg2xq8k2w,10059,10324,10149,0.973889053,2,
bbnvaloper1k5ssnj8wetel84yxtednmk5y8ksn9zewdw9svx,Hex Trust,0.1,45,20002956,0.009426,1.77E+12,bbnvaloper1k5ssnj8wetel84yxtednmk5y8ksn9zewdw9svx,10059,10333,10146,0.972994283,2,
bbnvaloper1ft6ud8te3us83kqwq5qs4thqae9jsz2wt4paek,GalaxyDigital,0.1,46,20002865,0.009426,1.77E+12,bbnvaloper1ft6ud8te3us83kqwq5qs4thqae9jsz2wt4paek,10057,10296,10139,0.976427656,2,
bbnvaloper1wtqdmvmk8muuuxj2e7el9jattm4gzsy5q2ycr5,falconx,0.1,47,20001235,0.009425,1.77E+12,bbnvaloper1wtqdmvmk8muuuxj2e7el9jattm4gzsy5q2ycr5,10058,10308,10139,0.975342736,2,
bbnvaloper1r5tehr84wvuanwfeupgdz4a78z748ujf22wpue,DeFimansSBI,0.1,48,20001206,0.009425,1.77E+12,bbnvaloper1r5tehr84wvuanwfeupgdz4a78z748ujf22wpue,10059,10296.5,10142,0.976582528,2,
bbnvaloper18gxlhvt5hvddxlddzqgq4de29chl2nguksvh9z,HoodRun,0.1,49,20000946,0.009425,1.77E+12,bbnvaloper18gxlhvt5hvddxlddzqgq4de29chl2nguksvh9z,10072.5,10490.5,10131.5,0.958742536,2,
bbnvaloper1mrjeleqxwsxrvz9lllzcpntm05gjugvnp9fmnl,Ankr,0.05,50,20000598,0.009425,1.77E+12,bbnvaloper1mrjeleqxwsxrvz9lllzcpntm05gjugvnp9fmnl,10045,10303,10138,0.974551194,59,
bbnvaloper125q9kavt28z0zrtnctg93s495nt6pr3lnj5z32,Twinstake,0.1,51,20000186,0.009424,1.77E+12,bbnvaloper125q9kavt28z0zrtnctg93s495nt6pr3lnj5z32,10043,10357,10146,0.969051843,2,
bbnvaloper15znlj5qky8c5vntav8ynys8azf9g63t5gtz6fh,Cubist,0.1,52,20000106,0.009424,1.77E+12,bbnvaloper15znlj5qky8c5vntav8ynys8azf9g63t5gtz6fh,10048,10286,10126,0.976496149,2,
bbnvaloper13v2jzm0w8yuw7p30cc4h4p3shv2vd7sq3h3wwn,node101,0.08,53,20000014,0.009424,1.77E+12,bbnvaloper13v2jzm0w8yuw7p30cc4h4p3shv2vd7sq3h3wwn,10061,10299,10136,0.976519337,53,
bbnvaloper1l47emrcep2eugpn67k7gj562wsqax34nrgx4wf,SenseiNode,0.1,54,20000006,0.009424,1.77E+12,bbnvaloper1l47emrcep2eugpn67k7gj562wsqax34nrgx4wf,10066,10325,10151,0.974485272,2,
