address,moniker,commission,rank,token,votingPower,timestamp,validatorAddress,q1,q3,median,safety,totalToken
osmovaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep88n0y4,Cosmostation,0.05,1,19728114,0.074119,1.76E+12,osmovaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep88n0y4,991,1123,1044,0.873563218,266163465
osmovaloper1z89utvygweg5l56fsk8ak7t6hh88fd0axx2fya,Inotel,0.05,2,12818372,0.048159,1.76E+12,osmovaloper1z89utvygweg5l56fsk8ak7t6hh88fd0axx2fya,990,1112,1042,0.882917466,
osmovaloper130r77dtdgz3yjyyskhrr3j2c90aqezugkhr3rs,Keplr,0.05,3,11079808,0.041627,1.76E+12,osmovaloper130r77dtdgz3yjyyskhrr3j2c90aqezugkhr3rs,983,1094,1033,0.892545983,
osmovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv5qgdz9,Nansen  Stake to Stack Points,0.05,4,8618442,0.03238,1.76E+12,osmovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv5qgdz9,988,1111,1039,0.881616939,
osmovaloper10w06wvmdd4xn7hr76gzrv570f7q5uweem5jcd7,TheCybernetics,0.05,5,8586705,0.03226,1.76E+12,osmovaloper10w06wvmdd4xn7hr76gzrv570f7q5uweem5jcd7,986,1111,1039,0.879692012,
osmovaloper1e20nfplac6cp5mga25a3ujvcgly3mfu73e6scn,Mendel,0.05,6,7466316,0.028051,1.76E+12,osmovaloper1e20nfplac6cp5mga25a3ujvcgly3mfu73e6scn,989,1114,1041,0.879923151,
osmovaloper12rzd5qr2wmpseypvkjl0spusts0eruw2g35lkn,Stakecito,0.05,7,6482114,0.024353,1.76E+12,osmovaloper12rzd5qr2wmpseypvkjl0spusts0eruw2g35lkn,987,1111,1039,0.880654475,
osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,CryptoCrew Validators ,0.05,8,5849947,0.021978,1.76E+12,osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,991,1114,1043,0.882070949,
osmovaloper1u5v0m74mql5nzfx2yh43s2tke4mvzghr6m2n5t,ECO Stake   REStakeapp,0.05,9,5818852,0.021862,1.76E+12,osmovaloper1u5v0m74mql5nzfx2yh43s2tke4mvzghr6m2n5t,982,1109,1036,0.877413127,
osmovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phpkatp,polkachucom,0.05,10,5463786,0.020528,1.76E+12,osmovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phpkatp,997,1114,1045,0.888038278,
osmovaloper17cp6fxccqxrpj4zc00w2c7u6y0umc2jajsyc5t,Ledger by Figment,0.05,11,5406983,0.020314,1.76E+12,osmovaloper17cp6fxccqxrpj4zc00w2c7u6y0umc2jajsyc5t,992,1113,1043,0.883988495,
osmovaloper15czt5nhlnvayqq37xun9s9yus0d6y26d5jws45,Binary Builders,0.05,12,5369554,0.020174,1.76E+12,osmovaloper15czt5nhlnvayqq37xun9s9yus0d6y26d5jws45,991,1115,1043,0.881112176,
osmovaloper14n8pf9uxhuyxqnqryvjdr8g68na98wn5amq3e5,PRYZM  StakeDrop,0.2,13,5325204,0.020007,1.76E+12,osmovaloper14n8pf9uxhuyxqnqryvjdr8g68na98wn5amq3e5,994,1110,1043,0.888782359,
osmovaloper15urq2dtp9qce4fyc85m6upwm9xul3049wh9czc,Chorus One,0.05,14,5237647,0.019678,1.76E+12,osmovaloper15urq2dtp9qce4fyc85m6upwm9xul3049wh9czc,995,1115,1045,0.885167464,
osmovaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7rq8p8gy,Interop,0.08,15,4837384,0.018174,1.76E+12,osmovaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7rq8p8gy,1044,1150,1080,0.901851852,
osmovaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpf6t4agt,Figment,0.05,16,4757317,0.017873,1.76E+12,osmovaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpf6t4agt,991,1113,1042,0.882917466,
osmovaloper1u6jr0pztvsjpvx77rfzmtw49xwzu9kas05lk04,Crosnest,0.05,17,4431558,0.016649,1.76E+12,osmovaloper1u6jr0pztvsjpvx77rfzmtw49xwzu9kas05lk04,982,1108,1035,0.87826087,
osmovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxwmj9we,Citadelone,0.05,18,4221735,0.015861,1.76E+12,osmovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxwmj9we,980,1104,1033,0.879961278,
osmovaloper1xvl4vrlh3epl7desfnqydt4tvexl380ue86syc,Mad Scientists,0.05,19,4099859,0.015403,1.76E+12,osmovaloper1xvl4vrlh3epl7desfnqydt4tvexl380ue86syc,988,1111,1039,0.881616939,
osmovaloper1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqr5e57n, LavenderFive Nodes ,0.05,20,4080695,0.015331,1.76E+12,osmovaloper1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqr5e57n,988,1113,1041,0.879923151,
osmovaloper1e9ucjn5fjmetky5wezzcsccp7hqcwzrrdulz7n,Allnodes,0.05,21,4069717,0.01529,1.76E+12,osmovaloper1e9ucjn5fjmetky5wezzcsccp7hqcwzrrdulz7n,992,1110,1041,0.886647454,
osmovaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5s833swz,Informal Systems,0.05,22,4064114,0.015269,1.76E+12,osmovaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5s833swz,1002,1110,1047,0.896848138,
osmovaloper1wlagucxdxvsmvj6330864x8q3vxz4x025rraa6,DSRV,0.1,23,3801144,0.014281,1.76E+12,osmovaloper1wlagucxdxvsmvj6330864x8q3vxz4x025rraa6,982,1109,1037,0.87753134,
osmovaloper1l7hln0l79erqaw6jdfdwx0hkfmj3dp27gr77ja,Smart Stake ,0.05,24,3670009,0.013788,1.76E+12,osmovaloper1l7hln0l79erqaw6jdfdwx0hkfmj3dp27gr77ja,982,1111,1037,0.8756027,
osmovaloper1cyw4vw20el8e7ez8080md0r8psg25n0cq98a9n,Sentinel dVPN,0.05,25,3571974,0.01342,1.76E+12,osmovaloper1cyw4vw20el8e7ez8080md0r8psg25n0cq98a9n,990,1112,1040,0.882692308,
osmovaloper12zwq8pcmmgwsl95rueqsf65avfg5zcj047ucw6,OmniFlix Network,0.05,26,3538088,0.013293,1.76E+12,osmovaloper12zwq8pcmmgwsl95rueqsf65avfg5zcj047ucw6,985,1104,1038,0.885356455,
osmovaloper16n0t7lmy4wnhjytzkncjdkxrsu9yfjm3ex7hxr,Golden Ratio Staking,0.05,27,3366801,0.012649,1.76E+12,osmovaloper16n0t7lmy4wnhjytzkncjdkxrsu9yfjm3ex7hxr,985,1112,1039,0.877767084,
osmovaloper1r7spsjagrmcfv96w5dxtttajvnxczhcpgfk74g,PRO Delegators,0.05,28,3217909,0.01209,1.76E+12,osmovaloper1r7spsjagrmcfv96w5dxtttajvnxczhcpgfk74g,986,1112,1039,0.878729548,
osmovaloper1t8qckan2yrygq7kl9apwhzfalwzgc2429p8f0s,Imperatorco,0.05,29,3192495,0.011994,1.76E+12,osmovaloper1t8qckan2yrygq7kl9apwhzfalwzgc2429p8f0s,985,1090,1029,0.897959184,
osmovaloper1t48236ajss9wswamwll4nj7up2gqdns52gvyaa,Cosmos Spaces ,0.05,30,3100764,0.01165,1.76E+12,osmovaloper1t48236ajss9wswamwll4nj7up2gqdns52gvyaa,987,1111,1039,0.880654475,
osmovaloper1et4d3he94fs5u98kzms7s0fjhpaf5hx7q6fuy5,Margined Protocol,0.05,31,2991138,0.011238,1.76E+12,osmovaloper1et4d3he94fs5u98kzms7s0fjhpaf5hx7q6fuy5,989,1117,1044,0.877394636,
osmovaloper1czsuul2n7252wcrvk9dvjcjg2qn2qcdd9ue74s,HighStakesch  Daily Airdrops,0.05,32,2913689,0.010947,1.76E+12,osmovaloper1czsuul2n7252wcrvk9dvjcjg2qn2qcdd9ue74s,970,1101,1026,0.872319688,
osmovaloper1e8238v24qccht9mqc2w0r4luq462yxttfpaeam,POSTHUMAN  StakeDrop,0.05,33,2891930,0.010865,1.76E+12,osmovaloper1e8238v24qccht9mqc2w0r4luq462yxttfpaeam,995,1113,1043,0.886864813,
osmovaloper1prmsfrgvla0u8x3kwc8k0mcqqve3h8y73d37nm,Parakeet,1,34,2824460,0.010612,1.76E+12,osmovaloper1prmsfrgvla0u8x3kwc8k0mcqqve3h8y73d37nm,989,1113,1042,0.880998081,
osmovaloper144xwxcrlntp4wjadhrylzc6p3vdzscye6t3f76,DKCMC,0.05,35,2804256,0.010536,1.76E+12,osmovaloper144xwxcrlntp4wjadhrylzc6p3vdzscye6t3f76,981,1106,1034,0.879110251,
osmovaloper1gy0nyn2hscxxayj2pdyu8axmfvv75nnvhc079s,Provalidator,0.05,36,2800847,0.010523,1.76E+12,osmovaloper1gy0nyn2hscxxayj2pdyu8axmfvv75nnvhc079s,988,1112,1041,0.880883766,
osmovaloper1z5xyynz9ewuf044uaweswldut34z34z3cwpt7y,Stakelyio,0.05,37,2731668,0.010263,1.76E+12,osmovaloper1z5xyynz9ewuf044uaweswldut34z34z3cwpt7y,977,1102,1030,0.878640777,
osmovaloper1jxv0u20scum4trha72c7ltfgfqef6nscqx0u46,Ping,0.05,38,2687745,0.010098,1.76E+12,osmovaloper1jxv0u20scum4trha72c7ltfgfqef6nscqx0u46,995,1111,1044,0.888888889,
osmovaloper1xaz2yf5l0qcta60nlc9v4vzufz2r3swte7y8xd,01node,0.05,39,2549724,0.009579,1.76E+12,osmovaloper1xaz2yf5l0qcta60nlc9v4vzufz2r3swte7y8xd,977,1103,1030,0.877669903,
osmovaloper1et77usu8q2hargvyusl4qzryev8x8t9weceqyk,Stargazezone ,0.05,40,2549645,0.009579,1.76E+12,osmovaloper1et77usu8q2hargvyusl4qzryev8x8t9weceqyk,987,1108,1037,0.883317261,
osmovaloper1nna7k5lywn99cd63elcfqm6p8c5c4qcu6ex2gp,IcyCRO ,0.05,41,2548773,0.009576,1.76E+12,osmovaloper1nna7k5lywn99cd63elcfqm6p8c5c4qcu6ex2gp,983,1112,1039,0.875842156,
osmovaloper15knxwwzq38lwe3e3rul8cpcew9n6u0gq7x38cj,Chihuahua,0.05,42,2478251,0.009311,1.76E+12,osmovaloper15knxwwzq38lwe3e3rul8cpcew9n6u0gq7x38cj,981,1106,1034,0.879110251,
osmovaloper10ymws40tepmjcu3a2wuy266ddna4ktas0zuzm4,Chandra Station ,0.05,43,2422158,0.0091,1.76E+12,osmovaloper10ymws40tepmjcu3a2wuy266ddna4ktas0zuzm4,990,1110,1041,0.884726225,
osmovaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9ua8h4lf,stakefish,0.05,44,2380497,0.008944,1.76E+12,osmovaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9ua8h4lf,995,1116,1045,0.884210526,
osmovaloper1xwazl8ftks4gn00y5x3c47auquc62ssuh8af89,jabbey,0.06,45,2318453,0.00871,1.76E+12,osmovaloper1xwazl8ftks4gn00y5x3c47auquc62ssuh8af89,980,1105,1033,0.878993224,
osmovaloper14amduhjazqhwtkhm6kutdcy4ux5zazf5k803tq,Leonoors Cryptoman,0.05,46,2261244,0.008496,1.76E+12,osmovaloper14amduhjazqhwtkhm6kutdcy4ux5zazf5k803tq,988,1111,1041,0.88184438,
osmovaloper125kjmvuv5sv7qct2t6wc99h3mp7hpyxw37dcgg,interchainFM,0.05,47,2213898,0.008318,1.76E+12,osmovaloper125kjmvuv5sv7qct2t6wc99h3mp7hpyxw37dcgg,988,1112,1041,0.880883766,
osmovaloper1tj76vuaqu23eex2v6vlqc93ytsselvama69re6,Interstellar ,0.05,48,2190283,0.008229,1.76E+12,osmovaloper1tj76vuaqu23eex2v6vlqc93ytsselvama69re6,990,1113,1042,0.881957774,
osmovaloper1zqevmn000unnjj709akc8p86f9jc4xevf8f8g3,OWALLET,0.05,49,2187655,0.008219,1.76E+12,osmovaloper1zqevmn000unnjj709akc8p86f9jc4xevf8f8g3,977,1104,1031,0.876818623,
osmovaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcmmarz7,SG1,0.05,50,2161286,0.00812,1.76E+12,osmovaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcmmarz7,992,1114,1043,0.883029722,
osmovaloper1eh5mwu044gd5ntkkc2xgfg8247mgc56f4dlt9h,BouBouNode,0.061,51,2107956,0.00792,1.76E+12,osmovaloper1eh5mwu044gd5ntkkc2xgfg8247mgc56f4dlt9h,1018,1128,1060,0.896226415,
osmovaloper14kn0kk33szpwus9nh8n87fjel8djx0y0fhtak5,Forbole,0.05,52,2056614,0.007727,1.76E+12,osmovaloper14kn0kk33szpwus9nh8n87fjel8djx0y0fhtak5,983,1108,1036,0.879343629,
osmovaloper135p8cjwa3hnnnksjxchda0a6339z9zm7cudyxn,BackBone Labs  Delegate for SOUL Claim Drop,0.06,54,1990418,0.007478,1.76E+12,osmovaloper135p8cjwa3hnnnksjxchda0a6339z9zm7cudyxn,982,1106,1036,0.88030888,
osmovaloper10jm8fvdyqlj78w0j5nawc76wsn4pqmdxgzgh4c,NosNode,0.05,55,1820826,0.006841,1.76E+12,osmovaloper10jm8fvdyqlj78w0j5nawc76wsn4pqmdxgzgh4c,994,1123,1052,0.877376426,
osmovaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhu6m87mz,Chainflow,0.05,56,1777821,0.006679,1.76E+12,osmovaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhu6m87mz,997,1126,1050,0.877142857,
osmovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w37wr9t,Frens ,0.1,57,1752446,0.006584,1.76E+12,osmovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w37wr9t,995,1119,1045,0.881339713,
osmovaloper10rsjwrcj7maz4f0l8dh3smjd022n9ya8ycuyg7,Active Nodes,0.05,59,1730090,0.0065,1.76E+12,osmovaloper10rsjwrcj7maz4f0l8dh3smjd022n9ya8ycuyg7,1001,1121,1049,0.885605338,
